task_id,timestamp,task_type,file_type,finance_domain,evaluation_criterion,agent,success,score,error_type,processing_time_sec,file_size_kb,complexity_score
TASK_0028,2024-01-02 04:00:00,Financial Analysis,CSV,Retail Banking,Accuracy,Agent_B,False,54.45,Missing Data,67.63,4024,6
TASK_0029,2024-01-02 05:00:00,Risk Assessment,CSV,Retail Banking,Completeness,Agent_B,True,93.66,,40.54,2816,10
TASK_0030,2024-01-02 06:00:00,Report Generation,Excel,Investment Banking,Timeliness,Agent_B,True,75.53,,34.95,3857,3
TASK_0031,2024-01-02 07:00:00,Data Extraction,Excel,Retail Banking,Data Quality,Agent_C,True,70.69,,33.57,1725,10
TASK_0032,2024-01-02 08:00:00,Market Research,CSV,Asset Management,Timeliness,Agent_A,False,63.16,Logic Error,28.49,4152,3
TASK_0033,2024-01-02 09:00:00,Data Extraction,Word,Retail Banking,Compliance,Agent_B,True,79.71,,38.52,3685,10
TASK_0034,2024-01-02 10:00:00,Risk Assessment,Word,Retail Banking,Timeliness,Agent_B,False,33.42,Missing Data,46.61,4739,1
TASK_0035,2024-01-02 11:00:00,Risk Assessment,PDF,Trading,Timeliness,Agent_A,False,50.66,Incomplete Output,61.51,2304,3
TASK_0036,2024-01-02 12:00:00,Data Extraction,Excel,Insurance,Timeliness,Agent_B,True,83.1,,48.72,2275,10
TASK_0037,2024-01-02 13:00:00,Compliance Check,JSON,Investment Banking,Data Quality,Agent_B,True,82.4,,35.25,3740,10
TASK_0038,2024-01-02 14:00:00,Financial Analysis,Word,Trading,Compliance,Agent_C,False,50.16,Logic Error,59.26,1697,2
TASK_0039,2024-01-02 15:00:00,Report Generation,JSON,Investment Banking,Accuracy,Agent_A,True,83.79,,35.88,3923,2
TASK_0040,2024-01-02 16:00:00,Compliance Check,CSV,Retail Banking,Formatting,Agent_C,True,92.08,,25.35,1635,2
TASK_0041,2024-01-02 17:00:00,Report Generation,PDF,Asset Management,Completeness,Agent_A,True,88.59,,44.21,685,10
TASK_0042,2024-01-02 18:00:00,Compliance Check,PDF,Insurance,Accuracy,Agent_C,True,95.22,,39.08,1697,7
TASK_0043,2024-01-02 19:00:00,Market Research,Word,Asset Management,Accuracy,Agent_C,False,38.88,Hallucination,32.62,3962,4
TASK_0044,2024-01-02 20:00:00,Financial Analysis,Word,Insurance,Formatting,Agent_A,True,88.14,,48.75,2792,4
TASK_0045,2024-01-02 21:00:00,Report Generation,Excel,Trading,Timeliness,Agent_C,True,73.47,,32.69,3646,7
TASK_0046,2024-01-02 22:00:00,Financial Analysis,Word,Trading,Completeness,Agent_B,True,68.28,,67.7,742,2
TASK_0047,2024-01-02 23:00:00,Data Extraction,PDF,Retail Banking,Completeness,Agent_A,True,86.96,,39.93,3003,10
TASK_0048,2024-01-03 00:00:00,Risk Assessment,Word,Trading,Timeliness,Agent_B,False,23.28,Logic Error,15.93,1690,7
TASK_0049,2024-01-03 01:00:00,Financial Analysis,Word,Asset Management,Compliance,Agent_B,False,9.91,Format Error,46.48,723,10
TASK_0050,2024-01-03 02:00:00,Report Generation,CSV,Trading,Timeliness,Agent_B,True,87.58,,21.73,3082,3
TASK_0051,2024-01-03 03:00:00,Compliance Check,JSON,Risk Management,Accuracy,Agent_C,True,85.46,,21.56,143,10
TASK_0052,2024-01-03 04:00:00,Data Extraction,Word,Trading,Timeliness,Agent_C,False,48.36,Timeout,30.13,1260,3
TASK_0053,2024-01-03 05:00:00,Data Extraction,PDF,Retail Banking,Accuracy,Agent_A,False,77.3,Incomplete Output,37.33,3340,7
TASK_0054,2024-01-03 06:00:00,Financial Analysis,CSV,Asset Management,Completeness,Agent_B,True,73.38,,57.84,4195,8
TASK_0055,2024-01-03 07:00:00,Risk Assessment,JSON,Retail Banking,Compliance,Agent_A,False,16.31,Logic Error,33.62,2518,3
TASK_0056,2024-01-03 08:00:00,Compliance Check,Excel,Insurance,Timeliness,Agent_C,False,26.52,Hallucination,31.9,4479,1
TASK_0057,2024-01-03 09:00:00,Risk Assessment,PDF,Insurance,Timeliness,Agent_B,True,84.08,,57.38,520,1
TASK_0058,2024-01-03 10:00:00,Compliance Check,JSON,Investment Banking,Timeliness,Agent_C,False,47.5,Timeout,38.08,2734,10
TASK_0059,2024-01-03 11:00:00,Risk Assessment,CSV,Investment Banking,Timeliness,Agent_B,True,78.21,,20.64,4554,1
TASK_0060,2024-01-03 12:00:00,Risk Assessment,JSON,Retail Banking,Completeness,Agent_B,True,80.86,,38.93,1994,6
TASK_0061,2024-01-03 13:00:00,Data Extraction,Word,Risk Management,Data Quality,Agent_C,True,90.16,,43.69,4683,3
TASK_0062,2024-01-03 14:00:00,Market Research,JSON,Retail Banking,Data Quality,Agent_B,True,75.53,,9.61,4552,2
TASK_0063,2024-01-03 15:00:00,Data Extraction,PDF,Risk Management,Accuracy,Agent_C,True,92.85,,48.31,2190,4
TASK_0064,2024-01-03 16:00:00,Risk Assessment,PDF,Retail Banking,Accuracy,Agent_A,False,13.99,Format Error,44.11,4148,3
TASK_0065,2024-01-03 17:00:00,Financial Analysis,CSV,Risk Management,Compliance,Agent_A,False,75.83,Missing Data,46.81,4166,10
TASK_0066,2024-01-03 18:00:00,Report Generation,CSV,Trading,Timeliness,Agent_B,True,84.14,,19.65,2403,2
TASK_0067,2024-01-03 19:00:00,Financial Analysis,Excel,Trading,Formatting,Agent_A,True,100.0,,48.03,4212,1
TASK_0068,2024-01-03 20:00:00,Risk Assessment,JSON,Investment Banking,Accuracy,Agent_C,True,80.62,,17.72,4831,10
TASK_0069,2024-01-03 21:00:00,Data Extraction,Excel,Trading,Completeness,Agent_B,True,88.2,,22.15,928,2
TASK_0070,2024-01-03 22:00:00,Risk Assessment,CSV,Insurance,Accuracy,Agent_C,True,79.83,,19.18,4642,1
TASK_0071,2024-01-03 23:00:00,Compliance Check,JSON,Investment Banking,Compliance,Agent_B,False,31.89,Incomplete Output,29.97,4728,8
TASK_0072,2024-01-04 00:00:00,Financial Analysis,JSON,Insurance,Completeness,Agent_A,True,86.81,,58.4,3524,8
TASK_0073,2024-01-04 01:00:00,Report Generation,Word,Risk Management,Timeliness,Agent_A,True,79.79,,25.13,3527,8
TASK_0074,2024-01-04 02:00:00,Financial Analysis,CSV,Insurance,Timeliness,Agent_C,False,56.96,Incomplete Output,51.45,127,1
TASK_0075,2024-01-04 03:00:00,Market Research,CSV,Risk Management,Accuracy,Agent_B,True,71.64,,35.43,1151,4
TASK_0076,2024-01-04 04:00:00,Report Generation,JSON,Investment Banking,Compliance,Agent_A,True,92.9,,37.64,1583,5
TASK_0077,2024-01-04 05:00:00,Market Research,CSV,Asset Management,Timeliness,Agent_C,True,79.02,,8.61,270,7
TASK_0078,2024-01-04 06:00:00,Risk Assessment,JSON,Retail Banking,Timeliness,Agent_B,True,84.43,,19.76,2048,3
TASK_0079,2024-01-04 07:00:00,Market Research,PDF,Trading,Data Quality,Agent_B,True,86.36,,45.89,2645,3
TASK_0080,2024-01-04 08:00:00,Report Generation,PDF,Risk Management,Compliance,Agent_A,True,80.24,,50.88,1324,5
TASK_0081,2024-01-04 09:00:00,Compliance Check,Word,Insurance,Formatting,Agent_B,True,91.97,,26.74,2146,2
TASK_0082,2024-01-04 10:00:00,Market Research,CSV,Trading,Data Quality,Agent_A,True,72.36,,30.16,1258,7
TASK_0083,2024-01-04 11:00:00,Risk Assessment,Word,Insurance,Formatting,Agent_B,False,22.82,Logic Error,41.44,2045,7
TASK_0084,2024-01-04 12:00:00,Report Generation,JSON,Trading,Data Quality,Agent_A,True,91.64,,21.44,2253,6
TASK_0085,2024-01-04 13:00:00,Risk Assessment,Excel,Trading,Formatting,Agent_B,True,95.3,,25.55,3238,4
TASK_0086,2024-01-04 14:00:00,Data Extraction,Word,Retail Banking,Formatting,Agent_C,True,98.65,,35.17,2126,4
TASK_0087,2024-01-04 15:00:00,Report Generation,Excel,Risk Management,Data Quality,Agent_C,True,86.44,,56.44,994,1
TASK_0088,2024-01-04 16:00:00,Data Extraction,CSV,Asset Management,Compliance,Agent_A,False,33.14,Logic Error,34.71,3459,9
TASK_0089,2024-01-04 17:00:00,Market Research,CSV,Trading,Data Quality,Agent_A,False,30.16,Timeout,28.74,3427,4
TASK_0090,2024-01-04 18:00:00,Market Research,PDF,Investment Banking,Data Quality,Agent_C,True,72.33,,59.15,1342,9
TASK_0091,2024-01-04 19:00:00,Risk Assessment,JSON,Investment Banking,Timeliness,Agent_B,True,91.82,,6.79,2132,6
TASK_0092,2024-01-04 20:00:00,Risk Assessment,Excel,Insurance,Completeness,Agent_C,True,82.92,,14.97,1215,8
TASK_0093,2024-01-04 21:00:00,Financial Analysis,JSON,Risk Management,Timeliness,Agent_A,True,99.79,,61.27,2213,2
TASK_0094,2024-01-04 22:00:00,Compliance Check,PDF,Investment Banking,Compliance,Agent_A,True,78.61,,43.35,1734,8
TASK_0095,2024-01-04 23:00:00,Financial Analysis,PDF,Trading,Data Quality,Agent_C,False,36.49,Incomplete Output,76.29,2342,1
TASK_0096,2024-01-05 00:00:00,Compliance Check,Word,Risk Management,Formatting,Agent_B,True,86.88,,48.18,2171,6
TASK_0097,2024-01-05 01:00:00,Report Generation,JSON,Investment Banking,Timeliness,Agent_C,False,23.89,Incomplete Output,22.22,3461,1
TASK_0098,2024-01-05 02:00:00,Data Extraction,Excel,Trading,Accuracy,Agent_A,True,90.77,,18.71,337,6
TASK_0099,2024-01-05 03:00:00,Financial Analysis,Word,Insurance,Formatting,Agent_A,True,91.9,,56.23,1321,8
TASK_0100,2024-01-05 04:00:00,Market Research,CSV,Asset Management,Compliance,Agent_A,True,71.45,,20.99,4435,7
TASK_0101,2024-01-05 05:00:00,Financial Analysis,Word,Insurance,Timeliness,Agent_C,False,58.86,Timeout,48.15,3604,10
TASK_0102,2024-01-05 06:00:00,Risk Assessment,CSV,Asset Management,Compliance,Agent_A,True,79.98,,42.52,3587,6
TASK_0103,2024-01-05 07:00:00,Data Extraction,PDF,Retail Banking,Data Quality,Agent_C,False,39.96,Format Error,58.46,3290,9
TASK_0104,2024-01-05 08:00:00,Risk Assessment,Word,Investment Banking,Accuracy,Agent_B,True,76.64,,27.78,2086,2
TASK_0105,2024-01-05 09:00:00,Compliance Check,CSV,Risk Management,Completeness,Agent_A,False,33.61,Timeout,29.97,4693,7
TASK_0106,2024-01-05 10:00:00,Compliance Check,Excel,Risk Management,Timeliness,Agent_C,False,48.84,Logic Error,39.83,464,10
TASK_0107,2024-01-05 11:00:00,Compliance Check,PDF,Retail Banking,Timeliness,Agent_B,True,82.22,,46.99,3373,3
TASK_0108,2024-01-05 12:00:00,Risk Assessment,Word,Trading,Formatting,Agent_C,True,77.19,,40.54,1260,6
TASK_0109,2024-01-05 13:00:00,Risk Assessment,Word,Investment Banking,Completeness,Agent_C,True,80.39,,31.22,4470,2
TASK_0110,2024-01-05 14:00:00,Financial Analysis,Excel,Retail Banking,Timeliness,Agent_A,True,84.72,,67.71,948,8
TASK_0111,2024-01-05 15:00:00,Risk Assessment,PDF,Insurance,Formatting,Agent_B,False,28.68,Missing Data,54.29,2332,5
TASK_0112,2024-01-05 16:00:00,Data Extraction,CSV,Insurance,Accuracy,Agent_A,True,86.74,,49.46,4117,8
TASK_0113,2024-01-05 17:00:00,Report Generation,Word,Investment Banking,Timeliness,Agent_B,True,95.84,,40.29,498,10
TASK_0114,2024-01-05 18:00:00,Risk Assessment,PDF,Retail Banking,Timeliness,Agent_B,False,51.7,Missing Data,42.87,836,7
TASK_0115,2024-01-05 19:00:00,Compliance Check,Excel,Risk Management,Compliance,Agent_C,True,100.0,,33.4,1192,8
TASK_0116,2024-01-05 20:00:00,Report Generation,JSON,Asset Management,Timeliness,Agent_B,False,7.06,Logic Error,42.98,48,8
TASK_0117,2024-01-05 21:00:00,Financial Analysis,JSON,Trading,Data Quality,Agent_A,False,5.29,Logic Error,57.3,3531,7
TASK_0118,2024-01-05 22:00:00,Report Generation,Excel,Retail Banking,Data Quality,Agent_C,False,55.7,Format Error,30.47,823,4
TASK_0119,2024-01-05 23:00:00,Compliance Check,PDF,Trading,Data Quality,Agent_A,True,72.16,,50.68,2434,10
TASK_0120,2024-01-06 00:00:00,Market Research,PDF,Asset Management,Timeliness,Agent_A,True,82.6,,36.95,2043,4
TASK_0121,2024-01-06 01:00:00,Risk Assessment,Word,Investment Banking,Accuracy,Agent_A,False,15.99,Logic Error,17.93,2244,10
TASK_0122,2024-01-06 02:00:00,Compliance Check,Word,Trading,Formatting,Agent_B,False,48.65,Incomplete Output,39.28,1878,2
TASK_0123,2024-01-06 03:00:00,Financial Analysis,JSON,Asset Management,Formatting,Agent_A,True,87.31,,74.55,3411,2
TASK_0124,2024-01-06 04:00:00,Financial Analysis,Excel,Investment Banking,Accuracy,Agent_B,False,37.56,Hallucination,48.32,3180,4
TASK_0125,2024-01-06 05:00:00,Risk Assessment,PDF,Trading,Formatting,Agent_B,True,86.36,,44.97,12,3
TASK_0126,2024-01-06 06:00:00,Market Research,Word,Trading,Accuracy,Agent_A,False,43.0,Format Error,41.26,2692,9
TASK_0127,2024-01-06 07:00:00,Report Generation,PDF,Retail Banking,Compliance,Agent_B,False,54.88,Format Error,65.1,993,6
TASK_0128,2024-01-06 08:00:00,Report Generation,Word,Retail Banking,Completeness,Agent_B,False,45.65,Format Error,40.3,2755,3
TASK_0129,2024-01-06 09:00:00,Risk Assessment,CSV,Trading,Timeliness,Agent_A,False,53.86,Hallucination,41.09,1714,9
TASK_0130,2024-01-06 10:00:00,Compliance Check,Excel,Asset Management,Formatting,Agent_B,True,93.32,,29.05,4531,10
TASK_0131,2024-01-06 11:00:00,Report Generation,Word,Risk Management,Completeness,Agent_B,False,41.61,Timeout,30.03,3127,1
TASK_0132,2024-01-06 12:00:00,Financial Analysis,PDF,Retail Banking,Compliance,Agent_A,False,49.0,Missing Data,60.99,1257,2
TASK_0133,2024-01-06 13:00:00,Data Extraction,JSON,Risk Management,Timeliness,Agent_A,True,89.15,,23.75,4836,1
TASK_0134,2024-01-06 14:00:00,Data Extraction,PDF,Retail Banking,Data Quality,Agent_A,True,100.0,,37.6,2438,7
TASK_0135,2024-01-06 15:00:00,Compliance Check,CSV,Investment Banking,Data Quality,Agent_C,True,90.86,,40.8,3619,2
TASK_0136,2024-01-06 16:00:00,Market Research,Excel,Trading,Compliance,Agent_A,True,85.71,,41.66,2854,4
TASK_0137,2024-01-06 17:00:00,Risk Assessment,JSON,Risk Management,Formatting,Agent_C,False,51.46,Timeout,32.43,4036,4
TASK_0138,2024-01-06 18:00:00,Market Research,CSV,Investment Banking,Timeliness,Agent_C,True,94.31,,20.71,3243,3
TASK_0139,2024-01-06 19:00:00,Financial Analysis,PDF,Asset Management,Completeness,Agent_C,False,26.76,Hallucination,66.54,3686,5
TASK_0140,2024-01-06 20:00:00,Report Generation,Excel,Asset Management,Formatting,Agent_A,True,94.99,,34.91,3234,7
TASK_0141,2024-01-06 21:00:00,Financial Analysis,JSON,Asset Management,Compliance,Agent_A,True,79.07,,49.86,126,2
TASK_0142,2024-01-06 22:00:00,Report Generation,Word,Investment Banking,Timeliness,Agent_B,False,49.93,Incomplete Output,29.28,1577,9
TASK_0143,2024-01-06 23:00:00,Financial Analysis,JSON,Risk Management,Accuracy,Agent_C,True,82.89,,45.97,2946,6
TASK_0144,2024-01-07 00:00:00,Market Research,JSON,Asset Management,Accuracy,Agent_B,False,60.35,Incomplete Output,30.92,927,7
TASK_0145,2024-01-07 01:00:00,Risk Assessment,Excel,Risk Management,Completeness,Agent_B,False,46.53,Format Error,27.26,326,3
TASK_0146,2024-01-07 02:00:00,Report Generation,PDF,Risk Management,Accuracy,Agent_C,False,50.58,Missing Data,43.28,3399,4
TASK_0147,2024-01-07 03:00:00,Market Research,CSV,Insurance,Compliance,Agent_B,False,76.13,Hallucination,23.11,4979,2
TASK_0148,2024-01-07 04:00:00,Market Research,JSON,Asset Management,Timeliness,Agent_A,False,29.53,Timeout,24.71,4800,3
TASK_0149,2024-01-07 05:00:00,Data Extraction,Excel,Risk Management,Completeness,Agent_C,True,75.98,,35.64,4140,6
TASK_0150,2024-01-07 06:00:00,Financial Analysis,JSON,Investment Banking,Data Quality,Agent_A,False,37.75,Logic Error,65.74,2789,4
TASK_0151,2024-01-07 07:00:00,Data Extraction,Excel,Investment Banking,Formatting,Agent_A,True,84.16,,47.81,2635,2
TASK_0152,2024-01-07 08:00:00,Data Extraction,Excel,Insurance,Formatting,Agent_B,False,52.99,Timeout,17.46,2968,1
TASK_0153,2024-01-07 09:00:00,Report Generation,Excel,Asset Management,Data Quality,Agent_C,True,86.85,,6.75,2350,5
TASK_0154,2024-01-07 10:00:00,Market Research,Word,Investment Banking,Data Quality,Agent_B,False,56.58,Hallucination,1.51,3165,2
TASK_0155,2024-01-07 11:00:00,Market Research,PDF,Insurance,Accuracy,Agent_A,True,98.73,,60.38,4406,7
TASK_0156,2024-01-07 12:00:00,Report Generation,Excel,Insurance,Data Quality,Agent_B,True,100.0,,24.1,3442,1
TASK_0157,2024-01-07 13:00:00,Compliance Check,JSON,Insurance,Compliance,Agent_A,True,74.63,,14.87,3188,5
TASK_0158,2024-01-07 14:00:00,Compliance Check,JSON,Trading,Accuracy,Agent_A,True,93.76,,28.39,1935,4
TASK_0159,2024-01-07 15:00:00,Risk Assessment,Excel,Investment Banking,Timeliness,Agent_B,True,83.95,,19.65,3838,5
TASK_0160,2024-01-07 16:00:00,Financial Analysis,PDF,Insurance,Data Quality,Agent_B,True,100.0,,62.87,135,2
TASK_0161,2024-01-07 17:00:00,Financial Analysis,Excel,Trading,Accuracy,Agent_C,True,68.19,,79.38,3933,7
TASK_0162,2024-01-07 18:00:00,Market Research,Word,Asset Management,Completeness,Agent_B,True,81.84,,25.73,1024,8
TASK_0163,2024-01-07 19:00:00,Compliance Check,Word,Risk Management,Completeness,Agent_A,False,47.26,Missing Data,33.65,4059,1
TASK_0164,2024-01-07 20:00:00,Risk Assessment,PDF,Asset Management,Formatting,Agent_A,False,28.85,Incomplete Output,51.68,3134,5
TASK_0165,2024-01-07 21:00:00,Financial Analysis,Excel,Risk Management,Compliance,Agent_B,False,60.08,Hallucination,47.48,3838,9
TASK_0166,2024-01-07 22:00:00,Report Generation,JSON,Retail Banking,Timeliness,Agent_B,True,93.38,,35.7,1010,7
TASK_0167,2024-01-07 23:00:00,Report Generation,Word,Insurance,Accuracy,Agent_B,True,74.78,,13.56,926,3
TASK_0168,2024-01-08 00:00:00,Data Extraction,Word,Investment Banking,Accuracy,Agent_A,True,82.58,,29.65,3348,3
TASK_0169,2024-01-08 01:00:00,Market Research,Excel,Retail Banking,Data Quality,Agent_A,True,85.47,,41.26,2511,5
TASK_0170,2024-01-08 02:00:00,Compliance Check,Excel,Investment Banking,Compliance,Agent_A,True,93.18,,54.4,2840,7
TASK_0171,2024-01-08 03:00:00,Market Research,Excel,Asset Management,Formatting,Agent_C,True,91.07,,32.81,724,3
TASK_0172,2024-01-08 04:00:00,Data Extraction,Word,Trading,Data Quality,Agent_C,True,71.46,,29.02,3645,3
TASK_0173,2024-01-08 05:00:00,Risk Assessment,JSON,Risk Management,Completeness,Agent_B,True,77.14,,27.75,3540,7
TASK_0174,2024-01-08 06:00:00,Data Extraction,Excel,Trading,Accuracy,Agent_B,True,83.85,,37.96,3967,7
TASK_0175,2024-01-08 07:00:00,Market Research,PDF,Asset Management,Timeliness,Agent_B,True,100.0,,49.13,3107,9
TASK_0176,2024-01-08 08:00:00,Risk Assessment,Excel,Investment Banking,Timeliness,Agent_B,False,26.34,Timeout,23.07,4155,8
TASK_0177,2024-01-08 09:00:00,Report Generation,JSON,Asset Management,Completeness,Agent_A,True,78.32,,51.45,4686,1
TASK_0178,2024-01-08 10:00:00,Report Generation,JSON,Retail Banking,Accuracy,Agent_C,True,80.62,,20.62,2476,7
TASK_0179,2024-01-08 11:00:00,Report Generation,Excel,Investment Banking,Data Quality,Agent_A,True,87.52,,29.98,4368,5
TASK_0180,2024-01-08 12:00:00,Risk Assessment,CSV,Retail Banking,Data Quality,Agent_A,True,89.55,,46.28,1200,4
TASK_0181,2024-01-08 13:00:00,Compliance Check,PDF,Asset Management,Formatting,Agent_A,True,79.81,,32.76,717,1
TASK_0182,2024-01-08 14:00:00,Data Extraction,Excel,Asset Management,Timeliness,Agent_C,True,90.05,,14.43,76,6
TASK_0183,2024-01-08 15:00:00,Data Extraction,Word,Retail Banking,Formatting,Agent_B,True,98.38,,34.19,4221,8
TASK_0184,2024-01-08 16:00:00,Market Research,JSON,Retail Banking,Compliance,Agent_A,True,77.07,,36.29,217,10
TASK_0185,2024-01-08 17:00:00,Market Research,PDF,Asset Management,Accuracy,Agent_C,False,36.99,Incomplete Output,30.93,1550,4
TASK_0186,2024-01-08 18:00:00,Data Extraction,PDF,Investment Banking,Data Quality,Agent_A,True,91.51,,38.14,4905,1
TASK_0187,2024-01-08 19:00:00,Compliance Check,JSON,Risk Management,Compliance,Agent_B,True,82.67,,25.92,1611,9
TASK_0188,2024-01-08 20:00:00,Compliance Check,Excel,Insurance,Accuracy,Agent_A,True,80.59,,38.13,1699,4
TASK_0189,2024-01-08 21:00:00,Risk Assessment,CSV,Risk Management,Formatting,Agent_C,False,39.23,Hallucination,34.64,4147,6
TASK_0190,2024-01-08 22:00:00,Risk Assessment,Word,Insurance,Data Quality,Agent_B,False,53.53,Logic Error,36.0,82,5
TASK_0191,2024-01-08 23:00:00,Report Generation,Excel,Insurance,Completeness,Agent_C,True,85.4,,31.7,1995,9
TASK_0192,2024-01-09 00:00:00,Compliance Check,PDF,Asset Management,Data Quality,Agent_A,True,79.8,,50.3,2956,3
TASK_0193,2024-01-09 01:00:00,Financial Analysis,PDF,Trading,Timeliness,Agent_B,True,85.45,,70.3,4233,4
TASK_0194,2024-01-09 02:00:00,Risk Assessment,Word,Asset Management,Data Quality,Agent_A,True,71.75,,42.56,1963,10
TASK_0195,2024-01-09 03:00:00,Financial Analysis,Excel,Risk Management,Formatting,Agent_B,True,80.49,,45.89,1189,3
TASK_0196,2024-01-09 04:00:00,Data Extraction,PDF,Asset Management,Compliance,Agent_C,True,79.14,,37.98,3302,4
TASK_0197,2024-01-09 05:00:00,Data Extraction,JSON,Risk Management,Completeness,Agent_C,False,70.72,Format Error,19.41,2149,6
TASK_0198,2024-01-09 06:00:00,Market Research,Word,Trading,Data Quality,Agent_A,True,80.39,,4.09,2303,6
TASK_0199,2024-01-09 07:00:00,Compliance Check,Excel,Retail Banking,Timeliness,Agent_A,True,88.33,,40.76,2395,5
TASK_0200,2024-01-09 08:00:00,Compliance Check,JSON,Investment Banking,Formatting,Agent_A,True,94.57,,28.41,4288,5
TASK_0201,2024-01-09 09:00:00,Risk Assessment,JSON,Retail Banking,Compliance,Agent_B,True,74.02,,13.86,3503,10
TASK_0202,2024-01-09 10:00:00,Compliance Check,Excel,Trading,Accuracy,Agent_A,True,88.72,,31.67,581,1
TASK_0203,2024-01-09 11:00:00,Risk Assessment,Excel,Retail Banking,Compliance,Agent_A,False,8.52,Incomplete Output,29.03,2257,1
TASK_0204,2024-01-09 12:00:00,Financial Analysis,JSON,Trading,Formatting,Agent_A,False,75.2,Timeout,51.37,3281,9
TASK_0205,2024-01-09 13:00:00,Report Generation,PDF,Trading,Formatting,Agent_C,True,74.22,,35.28,1684,4
TASK_0206,2024-01-09 14:00:00,Report Generation,CSV,Asset Management,Formatting,Agent_C,True,95.04,,31.88,2577,10
TASK_0207,2024-01-09 15:00:00,Market Research,JSON,Investment Banking,Accuracy,Agent_A,True,82.42,,27.49,1623,9
TASK_0208,2024-01-09 16:00:00,Financial Analysis,PDF,Retail Banking,Data Quality,Agent_C,False,35.35,Missing Data,74.28,2431,5
TASK_0209,2024-01-09 17:00:00,Data Extraction,Excel,Insurance,Completeness,Agent_C,True,78.37,,32.02,4593,10
TASK_0210,2024-01-09 18:00:00,Financial Analysis,Excel,Risk Management,Compliance,Agent_B,False,44.31,Hallucination,70.43,3998,3
